R1, R2, C1, C2
29, 44, 3F, C1
34, 47, 3F, C2
D9, A6, 3F, C3
2A, 4A, 3F, C4
2D, FC, 3F, C5
13, 63, 3F, C6
EA, 9A, 3F, C7
2B, 1F, 3F, C8
27, 10, 3F, C9
41, 1F, 3F, CA
AA, F7, 3F, CB
29, A1, 3F, CC
33, FC, 3F, CD
ED, 9B, 3F, CE
2A, 59, 3F, CF
2F, 61, 3F, D0
4, 58, 3F, D1
EA, BA, 3F, D2
2B, F0, 3F, D3
20, 65, 3F, D4
7F, 14, 3F, D5
AA, C0, 3F, D6
28, 1E, 3F, D7
39, 71, 3F, D8
B1, 90, 3F, D9
2A, 18, 3F, DA
2E, 16, 3F, DB
9, 4D, 3F, DC
EA, AE, 3F, DD
2B, 85, 3F, DE
22, BA, 3F, DF
15, 9, 3F, E0
AA, B5, 3F, E1
2B, 5B, 3F, E2
24, E6, 3F, E3
45, 85, 3F, E4
2A, EF, 3F, E5
29, BB, 3F, E6
32, 42, 3F, E7
EA, 96, 3F, E8
2A, 36, 3F, E9
2F, F, 3F, EA
3, FE, 3F, EB
AA, 5A, 3F, EC
2B, 50, 3F, ED
22, 9B, 3F, EE
69, 7A, 3F, EF
2A, 46, 3F, F0
2B, A0, 3F, F1
27, B7, 3F, F2
EA, 7A, 3F, F3
2A, 2B, 3F, F4
28, C4, 3F, F5
39, F3, 3F, F6
AA, 63, 3F, F7
2A, D, 3F, F8
29, 10, 3F, F9
3D, 6F, 3F, FA
2A, 7D, 3F, FB
2A, 15, 3F, FC
28, AC, 3F, FD
EA, 6A, 3F, FE
2A, 6C, 3F, FF
D6, 16, 40, 0
56, 95, 40, 1
D6, BC, 40, 2
D7, 39, 40, 3
C7, 9A, 40, 4
D6, 8E, 40, 5
D6, 54, 40, 6
D1, DD, 40, 7
96, 96, 40, 8
D6, D5, 40, 9
D4, 30, 40, A
C0, 21, 40, B
56, BA, 40, C
D6, 77, 40, D
D1, 84, 40, E
EB, A5, 40, F
D6, E7, 40, 10
D4, 8F, 40, 11
C4, E8, 40, 12
96, BA, 40, 13
D6, 8, 40, 14
D3, FB, 40, 15
FA, 2C, 40, 16
56, 83, 40, 17
D7, 2A, 40, 18
DA, F, 40, 19
BF, B0, 40, 1A
D6, DC, 40, 1B
D5, 3A, 40, 1C
CB, F3, 40, 1D
96, AA, 40, 1E
D6, 4F, 40, 1F
DE, A6, 40, 20
94, 37, 40, 21
56, FC, 40, 22
D4, 8D, 40, 23
C4, 9A, 40, 24
43, BB, 40, 25
D6, 25, 40, 26
D2, 55, 40, 27
FE, FE, 40, 28
96, 96, 40, 29
D7, 92, 40, 2A
DC, 11, 40, 2B
8E, 42, 40, 2C
56, 99, 40, 2D
D4, 20, 40, 2E
C1, 65, 40, 2F
17, C6, 40, 30
D6, 2, 40, 31
D0, 80, 40, 32
E5, 89, 40, 33
96, FE, 40, 34
D7, 61, 40, 35
DB, 5C, 40, 36
B8, 4D, 40, 37
56, BE, 40, 38
D5, 5B, 40, 39
CB, F0, 40, 3A
3B, D1, 40, 3B
D6, 23, 40, 3C
D1, 7B, 40, 3D
E8, 94, 40, 3E
96, EA, 40, 3F
D4, D4, 40, 40
C6, 87, 40, 41
52, 58, 40, 42
56, 5F, 40, 43
D2, 9E, 40, 44
F4, 7B, 40, 45
CF, DD, 40, 46
D7, C0, 40, 47
DF, D6, 40, 48
9F, 9F, 40, 49
96, AA, 40, 4A
D4, BB, 40, 4B
C5, F2, 40, 4C
4C, 63, 40, 4D
56, 78, 40, 4E
D2, 11, 40, 4F
FE, C6, 40, 50
93, E6, 40, 51
D7, A1, 40, 52
DC, 81, 40, 53
82, AA, 40, 54
96, BE, 40, 55
D4, 5E, 40, 56
C3, 3D, 40, 57
66, 6E, 40, 58
56, 5D, 40, 59
D3, 54, 40, 5A
FB, 51, 40, 5B
A7, F3, 40, 5C
D7, 86, 40, 5D
DD, 3C, 40, 5E
89, B5, 40, 5F
96, 96, 40, 60
D5, FD, 40, 61
CE, 68, 40, 62
10, 79, 40, 63
56, 32, 40, 64
D0, AF, 40, 65
E5, DC, 40, 66
4B, FC, 40, 67
D7, 5F, 40, 68
DB, D7, 40, 69
BC, 40, 40, 6A
96, 6A, 40, 6B
D5, 60, 40, 6C
CD, 53, 40, 6D
A, 84, 40, 6E
56, DB, 40, 6F
D1, 2, 40, 70
EE, A7, 40, 71
1F, 9, 40, 72
D7, C4, 40, 73
D8, 82, 40, 74
A3, 4B, 40, 75
96, 7A, 40, 76
D5, B7, 40, 77
C8, 1E, 40, 78
24, 8F, 40, 79
56, E4, 40, 7A
D1, A5, 40, 7B
E8, 32, 40, 7C
23, 12, 40, 7D
D7, ED, 40, 7E
D9, FD, 40, 7F
56, 56, 40, 80
96, 96, 40, 81
D2, A, 40, 82
F6, C9, 40, 83
DE, 9B, 40, 84
57, 11, 40, 85
DE, 78, 40, 86
95, BD, 40, 87
F7, 1C, 40, 88
D4, 3A, 40, 89
C7, 68, 40, 8A
5D, 61, 40, 8B
96, AE, 40, 8C
D2, 49, 40, 8D
F5, B4, 40, 8E
C8, A4, 40, 8F
57, 6, 40, 90
DF, 33, 40, 91
9F, 8, 40, 92
9B, 2B, 40, 93
D4, 7B, 40, 94
C4, 83, 40, 95
40, 6C, 40, 96
96, BA, 40, 97
D2, EC, 40, 98
F0, 7F, 40, 99
E2, B1, 40, 9A
57, 7, 40, 9B
DF, F6, 40, 9C
98, 93, 40, 9D
AF, 36, 40, 9E
D4, 48, 40, 9F
C2, 3E, 40, A0
77, 77, 40, A1
96, 9A, 40, A2
D3, 23, 40, A3
FF, 2A, 40, A4
9C, BA, 40, A5
57, 70, 40, A6
DC, 49, 40, A7
82, 1E, 40, A8
73, 3D, 40, A9
D4, E9, 40, AA
C3, 29, 40, AB
7A, 2, 40, AC
96, EE, 40, AD
D3, 36, 40, AE
FD, 95, 40, AF
B6, C7, 40, B0
57, 25, 40, B1
DD, 6C, 40, B2
8F, E9, 40, B3
7, 48, 40, B4
D4, 9E, 40, B5
C0, 84, 40, B6
61, D, 40, B7
96, F6, 40, B8
D3, 85, 40, B9
F8, C0, 40, BA
A0, D0, 40, BB
57, 2A, 40, BC
DD, 87, 40, BD
89, 74, 40, BE
2B, 57, 40, BF
D5, 57, 40, C0
CE, 7F, 40, C1
14, 18, 40, C2
96, 9A, 40, C3
D0, 78, 40, C4
E7, B, 40, C5
5A, DD, 40, C6
57, D3, 40, C7
DA, DA, 40, C8
7A, 0, 40, C9
FF, 63, 40, CA
D5, 4C, 40, CB
CF, EA, 40, CC
1B, 23, 40, CD
96, AA, 40, CE
D0, 1F, 40, CF
E2, 76, 40, D0
74, E6, 40, D1
57, CC, 40, D2
DB, 5D, 40, D3
BC, 4A, 40, D4
83, 68, 40, D5
D5, 35, 40, D6
CC, 85, 40, D7
E, 2E, 40, D8
96, B6, 40, D9
D0, A2, 40, DA
E0, A1, 40, DB
6E, F3, 40, DC
57, C9, 40, DD
DB, 90, 40, DE
B9, D5, 40, DF
57, 75, 40, E0
D5, F2, 40, E1
CA, 30, 40, E2
35, 39, 40, E3
96, 9E, 40, E4
D1, 51, 40, E5
EF, EC, 40, E6
18, FC, 40, E7
57, AE, 40, E8
D8, EB, 40, E9
A3, A0, 40, EA
7B, 82, 40, EB
D5, 33, 40, EC
CB, 2B, 40, ED
38, C4, 40, EE
96, 6A, 40, EF
D1, 4, 40, F0
EA, D7, 40, F1
32, 9, 40, F2
57, 6F, 40, F3
D9, CE, 40, F4
AC, 2B, 40, F5
F, 8F, 40, F6
D5, 50, 40, F7
C9, 86, 40, F8
2F, CF, 40, F9
96, 6A, 40, FA
D1, 4B, 40, FB
E9, 82, 40, FC
2C, 12, 40, FD
57, 68, 40, FE
D9, 61, 40, FF
D6, 92, 41, 0
D3, 92, 41, 1
F7, D0, 41, 2
D4, D8, 41, 3
96, 9E, 41, 4
DF, B1, 41, 5
96, C, 41, 6
D9, 1F, 41, 7
55, 8E, 41, 8
C7, B, 41, 9
52, 80, 41, A
FA, A5, 41, B
D3, 93, 41, C
F6, B, 41, D
D9, E5, 41, E
96, AA, 41, F
DF, 24, 41, 10
93, F7, 41, 11
F3, 2A, 41, 12
55, 8F, 41, 13
C6, EE, 41, 14
5D, B, 41, 15
8E, A8, 41, 16
D3, F0, 41, 17
F4, A6, 41, 18
CE, EE, 41, 19
96, AA, 41, 1A
DF, 6B, 41, 1B
90, A2, 41, 1C
ED, 31, 41, 1D
55, 88, 41, 1E
C6, 41, 41, 1F
47, 96, 41, 20
52, B3, 41, 21
D3, 31, 41, 22
F3, D1, 41, 23
F3, FB, 41, 24
96, 9E, 41, 25
DE, 8E, 41, 26
9E, 6D, 41, 27
87, 3C, 41, 28
55, ED, 41, 29
C5, 64, 41, 2A
42, 61, 41, 2B
66, C6, 41, 2C
D3, 76, 41, 2D
F2, C, 41, 2E
F8, 84, 41, 2F
96, F6, 41, 30
DE, 4D, 41, 31
9B, 58, 41, 32
B1, 4B, 41, 33
55, A2, 41, 34
C4, 9F, 41, 35
4C, EC, 41, 36
A, C9, 41, 37
D3, 2F, 41, 38
F0, E7, 41, 39
ED, 91, 41, 3A
96, EA, 41, 3B
DE, 30, 41, 3C
98, 83, 41, 3D
AB, 56, 41, 3E
55, AB, 41, 3F
C3, D2, 41, 40
77, 77, 41, 41
DE, DD, 41, 42
D2, D4, 41, 43
FF, 52, 41, 44
92, 9A, 41, 45
96, 9A, 41, 46
DD, E7, 41, 47
85, CE, 41, 48
45, 5D, 41, 49
55, 74, 41, 4A
C3, 55, 41, 4B
71, C2, 41, 4C
E2, E6, 41, 4D
D2, DD, 41, 4E
FE, D, 41, 4F
87, A7, 41, 50
96, B6, 41, 51
DD, 7A, 41, 52
83, 39, 41, 53
7F, 68, 41, 54
55, 41, 41, 55
C2, 88, 41, 56
7C, 4D, 41, 57
B6, EB, 41, 58
D2, 8A, 41, 59
FC, B8, 41, 5A
8C, B0, 41, 5B
96, AE, 41, 5C
DD, 19, 41, 5D
80, 64, 41, 5E
69, 77, 41, 5F
55, 36, 41, 60
C1, E3, 41, 61
66, D8, 41, 62
5A, FC, 41, 63
D2, 6B, 41, 64
FB, 53, 41, 65
B1, BD, 41, 66
96, 9A, 41, 67
DC, BC, 41, 68
8D, AF, 41, 69
3, 82, 41, 6A
55, D7, 41, 6B
C1, C6, 41, 6C
61, A3, 41, 6D
6E, 1, 41, 6E
D2, B8, 41, 6F
F9, E, 41, 70
A6, 46, 41, 71
96, 7A, 41, 72
DC, 93, 41, 73
8A, 1A, 41, 74
3D, 89, 41, 75
55, E0, 41, 76
C0, 79, 41, 77
6B, 2E, 41, 78
32, A, 41, 79
D2, F9, 41, 7A
F8, 79, 41, 7B
AB, 53, 41, 7C
96, 6E, 41, 7D
DC, E6, 41, 7E
88, C5, 41, 7F
D7, 95, 41, 80
54, 15, 41, 81
CF, 3C, 41, 82
16, B9, 41, 83
C6, 1C, 41, 84
D1, E, 41, 85
E7, D4, 41, 86
50, 5C, 41, 87
96, 96, 41, 88
DB, 55, 41, 89
B5, B0, 41, 8A
C1, A2, 41, 8B
54, 3A, 41, 8C
CF, F7, 41, 8D
10, 4, 41, 8E
EA, 23, 41, 8F
D1, 67, 41, 90
E5, F, 41, 91
45, 69, 41, 92
96, BA, 41, 93
DB, 88, 41, 94
B2, 7B, 41, 95
FB, AF, 41, 96
54, 3, 41, 97
CE, AA, 41, 98
1B, 8F, 41, 99
BE, 36, 41, 9A
D1, 5C, 41, 9B
E4, BA, 41, 9C
4A, 72, 41, 9D
96, AA, 41, 9E
DB, CF, 41, 9F
BF, 26, 41, A0
95, B4, 41, A1
54, 7C, 41, A2
CD, D, 41, A3
5, 1A, 41, A4
42, 3D, 41, A5
D1, A5, 41, A6
E3, D5, 41, A7
7F, 7F, 41, A8
96, 96, 41, A9
DA, 12, 41, AA
BD, 91, 41, AB
8F, C1, 41, AC
54, 19, 41, AD
CD, A0, 41, AE
0, E5, 41, AF
16, 40, 41, B0
D1, 82, 41, B1
E1, 0, 41, B2
64, 8, 41, B3
96, FE, 41, B4
DA, E1, 41, B5
BA, DC, 41, B6
B9, CE, 41, B7
54, 3E, 41, B8
CC, DB, 41, B9
A, 70, 41, BA
3A, 57, 41, BB
D1, A3, 41, BC
E0, FB, 41, BD
69, 15, 41, BE
96, EA, 41, BF
D9, 54, 41, C0
A7, 7, 41, C1
53, DB, 41, C2
54, DF, 41, C3
CB, 1E, 41, C4
35, FB, 41, C5
CE, 5B, 41, C6
D0, 40, 41, C7
EE, 56, 41, C8
1E, 1E, 41, C9
96, AA, 41, CA
D9, 3B, 41, CB
A4, 72, 41, CC
4D, E0, 41, CD
54, F8, 41, CE
CB, 91, 41, CF
3F, 46, 41, D0
92, 60, 41, D1
D0, 21, 41, D2
ED, 1, 41, D3
3, 2B, 41, D4
96, BE, 41, D5
D9, DE, 41, D6
A2, BD, 41, D7
67, ED, 41, D8
54, DD, 41, D9
CA, D4, 41, DA
3A, D1, 41, DB
A6, 75, 41, DC
D0, 6, 41, DD
EC, BC, 41, DE
8, 34, 41, DF
96, 96, 41, E0
D8, 7D, 41, E1
AF, E8, 41, E2
11, FA, 41, E3
54, B2, 41, E4
C9, 2F, 41, E5
24, 5C, 41, E6
4A, 7A, 41, E7
D0, DF, 41, E8
EA, 57, 41, E9
3D, C1, 41, EA
96, 6A, 41, EB
D8, E0, 41, EC
AC, D3, 41, ED
B, 7, 41, EE
54, 5B, 41, EF
C8, 82, 41, F0
2F, 27, 41, F1
1E, 8F, 41, F2
D0, 44, 41, F3
E9, 2, 41, F4
22, CA, 41, F5
96, 7A, 41, F6
D8, 37, 41, F7
A9, 9E, 41, F8
25, C, 41, F9
54, 64, 41, FA
C8, 25, 41, FB
29, B2, 41, FC
22, 94, 41, FD
D0, 6D, 41, FE
E8, 7D, 41, FF
9A, 96, 42, 0
C8, 9D, 42, 1
58, 8, 42, 2
DE, 1D, 42, 3
5C, 92, 42, 4
F8, CF, 42, 5
DB, BD, 42, 6
C5, 95, 42, 7
D0, BF, 42, 8
99, B7, 42, 9
D2, E2, 42, A
9A, AA, 42, B
C8, C0, 42, C
5B, F3, 42, D
C4, 20, 42, E
5C, BB, 42, F
F9, A2, 42, 10
D0, 6, 42, 11
91, A0, 42, 12
D0, E4, 42, 13
9A, 22, 42, 14
CD, E9, 42, 15
9A, BA, 42, 16
C8, 17, 42, 17
5E, BE, 42, 18
EA, 2B, 42, 19
5C, 84, 42, 1A
F9, 5, 42, 1B
D6, 93, 42, 1C
AD, BB, 42, 1D
D0, CD, 42, 1E
9B, 5D, 42, 1F
F8, F4, 42, 20
9A, 96, 42, 21
C9, AA, 42, 22
50, 69, 42, 23
90, 3E, 42, 24
5C, F1, 42, 25
FA, D8, 42, 26
CB, 1C, 42, 27
79, B6, 42, 28
D0, 1A, 42, 29
9D, 88, 42, 2A
F3, 83, 42, 2B
9A, EE, 42, 2C
C9, A9, 42, 2D
53, 54, 42, 2E
86, 41, 42, 2F
5C, A6, 42, 30
FB, D3, 42, 31
C1, E9, 42, 32
15, C1, 42, 33
D0, 1B, 42, 34
9E, 63, 42, 35
EE, 8E, 42, 36
9A, FA, 42, 37
C9, C, 42, 38
56, 9F, 42, 39
AC, 54, 42, 3A
5C, A7, 42, 3B
FB, 16, 42, 3C
C6, 72, 42, 3D
21, DC, 42, 3E
D0, 28, 42, 3F
90, DE, 42, 40
99, 95, 42, 41
9A, 9A, 42, 42
CA, C3, 42, 43
49, CA, 42, 44
52, 5F, 42, 45
5C, 50, 42, 46
FC, A9, 42, 47
C4, 0, 42, 48
FD, D6, 42, 49
D1, C9, 42, 4A
91, 89, 42, 4B
94, A0, 42, 4C
9A, AE, 42, 4D
CA, 96, 42, 4E
4B, 35, 42, 4F
78, 62, 42, 50
5C, 45, 42, 51
FD, CC, 42, 52
F1, 48, 42, 53
89, E3, 42, 54
D1, BE, 42, 55
92, 24, 42, 56
8F, AF, 42, 57
9A, B6, 42, 58
CA, 25, 42, 59
4E, 60, 42, 5A
6E, 75, 42, 5B
5C, 4A, 42, 5C
FD, 27, 42, 5D
F7, D5, 42, 5E
A5, FC, 42, 5F
D1, 77, 42, 60
94, DF, 42, 61
BA, BA, 42, 62
9A, 9A, 42, 63
CB, D8, 42, 64
41, AB, 42, 65
14, 78, 42, 66
5C, 33, 42, 67
FE, 7A, 42, 68
EC, 5E, 42, 69
71, 9, 42, 6A
D1, AC, 42, 6B
95, 8A, 42, 6C
B5, 41, 42, 6D
9A, 6A, 42, 6E
CB, 7F, 42, 6F
44, 16, 42, 70
3A, 83, 42, 71
5C, EC, 42, 72
FF, 3D, 42, 73
E2, 2B, 42, 74
D, 2, 42, 75
D1, D5, 42, 76
96, E5, 42, 77
A0, 4C, 42, 78
9A, 76, 42, 79
CB, C2, 42, 7A
46, C1, 42, 7B
20, 96, 42, 7C
5C, E9, 42, 7D
FF, F0, 42, 7E
E7, B4, 42, 7F
D9, 1C, 42, 80
D2, 12, 42, 81
88, 50, 42, 82
5B, 5B, 42, 83
9A, 9E, 42, 84
CC, 31, 42, 85
79, 8C, 42, 86
D6, 98, 42, 87
5D, E, 42, 88
F0, 8B, 42, 89
9D, 1, 42, 8A
F5, 2B, 42, 8B
D2, 13, 42, 8C
89, 8B, 42, 8D
56, 66, 42, 8E
9A, AA, 42, 8F
CC, A4, 42, 90
7C, 77, 42, 91
FC, AD, 42, 92
5D, F, 42, 93
F1, 6E, 42, 94
92, 8A, 42, 95
81, 26, 42, 96
D2, 70, 42, 97
8B, 26, 42, 98
41, 6D, 42, 99
9A, AA, 42, 9A
CC, EB, 42, 9B
7F, 22, 42, 9C
E2, B6, 42, 9D
5D, 8, 42, 9E
F1, C1, 42, 9F
88, 17, 42, A0
5D, 3D, 42, A1
D2, B1, 42, A2
8C, 51, 42, A3
7C, 78, 42, A4
9A, 9E, 42, A5
CD, E, 42, A6
71, ED, 42, A7
88, BB, 42, A8
5D, 6D, 42, A9
F2, E4, 42, AA
8D, E0, 42, AB
69, 48, 42, AC
D2, F6, 42, AD
8D, 8C, 42, AE
77, 7, 42, AF
9A, F6, 42, B0
CD, CD, 42, B1
74, D8, 42, B2
BE, CC, 42, B3
5D, 22, 42, B4
F3, 1F, 42, B5
83, 6D, 42, B6
5, 47, 42, B7
D2, AF, 42, B8
8F, 67, 42, B9
62, 12, 42, BA
9A, EA, 42, BB
CD, B0, 42, BC
77, 3, 42, BD
A4, D1, 42, BE
5D, 2B, 42, BF
F4, 52, 42, C0
B8, F6, 42, C1
D1, 53, 42, C2
D3, 54, 42, C3
80, D2, 42, C4
1D, 19, 42, C5
9A, 9A, 42, C6
CE, 67, 42, C7
6A, 4E, 42, C8
4A, DA, 42, C9
5D, F4, 42, CA
F4, D5, 42, CB
BE, 43, 42, CC
ED, 68, 42, CD
D3, 5D, 42, CE
81, 8D, 42, CF
8, 24, 42, D0
9A, B6, 42, D1
CE, FA, 42, D2
6C, B9, 42, D3
70, EF, 42, D4
5D, C1, 42, D5
F5, 8, 42, D6
B3, CC, 42, D7
B9, 65, 42, D8
D3, A, 42, D9
83, 38, 42, DA
3, 33, 42, DB
9A, AE, 42, DC
CE, 99, 42, DD
6F, E4, 42, DE
66, F0, 42, DF
5D, B6, 42, E0
F6, 63, 42, E1
A9, 59, 42, E2
55, 72, 42, E3
D3, EB, 42, E4
84, D3, 42, E5
3E, 3E, 42, E6
9A, 9A, 42, E7
CF, 3C, 42, E8
62, 2F, 42, E9
C, 5, 42, EA
5D, 57, 42, EB
F6, 46, 42, EC
AE, 22, 42, ED
61, 8F, 42, EE
D3, 38, 42, EF
86, 8E, 42, F0
29, C5, 42, F1
9A, 7A, 42, F2
CF, 13, 42, F3
65, 9A, 42, F4
32, E, 42, F5
5D, 60, 42, F6
F7, F9, 42, F7
A4, AF, 42, F8
3D, 84, 42, F9
D3, 79, 42, FA
87, F9, 42, FB
24, D0, 42, FC
9A, 6E, 42, FD
CF, 66, 42, FE
67, 45, 42, FF
5F, 96, 43, 0
E9, 83, 43, 1
58, B9, 43, 2
D4, 95, 43, 3
D5, 8B, 43, 4
B9, 33, 43, 5
DF, DF, 43, 6
9A, 9A, 43, 7
C1, DC, 43, 8
1B, CF, 43, 9
CD, 26, 43, A
5F, B7, 43, B
E9, 66, 43, C
5F, 2, 43, D
E0, A8, 43, E
D5, 98, 43, F
BB, AE, 43, 10
C8, E4, 43, 11
9A, BA, 43, 12
C1, 33, 43, 13
1C, BA, 43, 14
F3, 2D, 43, 15
5F, 80, 43, 16
E8, D9, 43, 17
55, 8F, 43, 18
BC, A3, 43, 19
D5, D9, 43, 1A
BA, D9, 43, 1B
C5, F1, 43, 1C
9A, AE, 43, 1D
C1, 46, 43, 1E
1E, 65, 43, 1F
99, 30, 43, 20
5F, F5, 43, 21
EB, 9C, 43, 22
48, 18, 43, 23
48, B6, 43, 24
D5, 2E, 43, 25
BD, 74, 43, 26
FE, FE, 43, 27
9A, 96, 43, 28
C0, F5, 43, 29
13, 50, 43, 2A
8F, 47, 43, 2B
5F, 9A, 43, 2C
EB, 17, 43, 2D
4E, E5, 43, 2E
64, C9, 43, 2F
D5, 7, 43, 30
BF, EF, 43, 31
EB, 8B, 43, 32
9A, FA, 43, 33
C0, 68, 43, 34
14, 9B, 43, 35
B5, 4A, 43, 36
5F, A3, 43, 37
EA, 4A, 43, 38
45, 6E, 43, 39
30, DC, 43, 3A
D5, 3C, 43, 3B
BE, 5A, 43, 3C
E4, 90, 43, 3D
9A, EA, 43, 3E
C0, 2F, 43, 3F
9, C6, 43, 40
5B, 51, 43, 41
5F, 5C, 43, 42
ED, ED, 43, 43
7B, FB, 43, 44
CC, D6, 43, 45
D4, C5, 43, 46
B1, 35, 43, 47
91, 9D, 43, 48
9A, 96, 43, 49
C3, B2, 43, 4A
B, 31, 43, 4B
41, 64, 43, 4C
5F, 79, 43, 4D
ED, 0, 43, 4E
7E, 44, 43, 4F
98, EB, 43, 50
D4, A2, 43, 51
B3, A0, 43, 52
8A, AA, 43, 53
9A, BE, 43, 54
C3, 41, 43, 55
C, 7C, 43, 56
77, 6B, 43, 57
5F, 5E, 43, 58
EC, 7B, 43, 59
74, D1, 43, 5A
B4, FC, 43, 5B
D4, 83, 43, 5C
B2, 5B, 43, 5D
87, B7, 43, 5E
9A, AA, 43, 5F
C2, F4, 43, 60
1, A7, 43, 61
1D, 7E, 43, 62
5F, 3F, 43, 63
EF, BE, 43, 64
6B, 5A, 43, 65
40, F1, 43, 66
D4, 60, 43, 67
B4, F6, 43, 68
B0, BC, 43, 69
9A, 6A, 43, 6A
C2, 5B, 43, 6B
2, 12, 43, 6C
3, 85, 43, 6D
5F, D8, 43, 6E
EF, F1, 43, 6F
61, 27, 43, 70
1C, A, 43, 71
D4, C1, 43, 72
B7, 61, 43, 73
AD, 49, 43, 74
9A, 7E, 43, 75
C2, BE, 43, 76
4, DD, 43, 77
29, 88, 43, 78
5F, FD, 43, 79
EE, B4, 43, 7A
64, B0, 43, 7B
28, 1F, 43, 7C
D4, E6, 43, 7D
B6, DC, 43, 7E
A6, 56, 43, 7F
9A, 96, 43, 80
C5, 1D, 43, 81
39, 88, 43, 82
DF, 9E, 43, 83
5E, 12, 43, 84
E1, 4F, 43, 85
1A, 3D, 43, 86
C4, 13, 43, 87
D7, 3F, 43, 88
A8, 37, 43, 89
53, 63, 43, 8A
9A, AA, 43, 8B
C5, 40, 43, 8C
3A, 73, 43, 8D
C5, A3, 43, 8E
5E, 3B, 43, 8F
E0, 22, 43, 90
11, 86, 43, 91
90, 26, 43, 92
D7, 64, 43, 93
AB, A2, 43, 94
4C, 68, 43, 95
9A, BA, 43, 96
C5, 97, 43, 97
3F, 3E, 43, 98
EB, A8, 43, 99
5E, 4, 43, 9A
E0, 85, 43, 9B
17, 13, 43, 9C
AC, 3D, 43, 9D
D7, 4D, 43, 9E
AA, DD, 43, 9F
79, 75, 43, A0
9A, 96, 43, A1
C4, 2A, 43, A2
31, E9, 43, A3
91, BD, 43, A4
5E, 71, 43, A5
E3, 58, 43, A6
A, 9C, 43, A7
78, 30, 43, A8
D7, 9A, 43, A9
AC, 8, 43, AA
72, 2, 43, AB
9A, EE, 43, AC
C4, 29, 43, AD
32, D4, 43, AE
87, C2, 43, AF
5E, 26, 43, B0
E2, 53, 43, B1
0, 69, 43, B2
14, 47, 43, B3
D7, 9B, 43, B4
AF, E3, 43, B5
6F, F, 43, B6
9A, FA, 43, B7
C4, 8C, 43, B8
37, 1F, 43, B9
AD, D7, 43, BA
5E, 27, 43, BB
E2, 96, 43, BC
7, F2, 43, BD
20, 5A, 43, BE
D7, A8, 43, BF
A1, 5E, 43, C0
18, 14, 43, C1
9A, 9A, 43, C2
C7, 43, 43, C3
28, 4A, 43, C4
53, DC, 43, C5
5E, D0, 43, C6
E5, 29, 43, C7
3D, 7F, 43, C8
FC, 50, 43, C9
D6, 49, 43, CA
A0, 9, 43, CB
15, 21, 43, CC
9A, AE, 43, CD
C7, 16, 43, CE
2A, B5, 43, CF
79, E1, 43, D0
5E, C5, 43, D1
E4, 4C, 43, D2
30, C8, 43, D3
88, 65, 43, D4
D6, 3E, 43, D5
A3, A4, 43, D6
E, 2E, 43, D7
9A, B6, 43, D8
C7, A5, 43, D9
2F, E0, 43, DA
6F, F6, 43, DB
5E, CA, 43, DC
E4, A7, 43, DD
36, 55, 43, DE
A4, 7A, 43, DF
D6, F7, 43, E0
A5, 5F, 43, E1
3B, 3B, 43, E2
9A, 9A, 43, E3
C6, 58, 43, E4
20, 2B, 43, E5
15, FB, 43, E6
5E, B3, 43, E7
E7, FA, 43, E8
2D, DE, 43, E9
70, 8F, 43, EA
D6, 2C, 43, EB
A4, A, 43, EC
34, C0, 43, ED
9A, 6A, 43, EE
8E, 0, 43, EF
25, 96, 43, F0
3B, 0, 43, F1
5E, 6C, 43, F2
E6, BD, 43, F3
23, AB, 43, F4
C, 84, 43, F5
D6, 55, 43, F6
A7, 65, 43, F7
21, CD, 43, F8
9A, 76, 43, F9
C6, 42, 43, FA
27, 41, 43, FB
21, 15, 43, FC
5E, 69, 43, FD
E6, 70, 43, FE
26, 34, 43, FF
CA, 97, 44, 0
5A, BF, 44, 1
D8, DC, 44, 2
9E, 9A, 44, 3
FA, B8, 44, 4
DB, CA, 44, 5
D6, 14, 44, 6
52, 93, 44, 7
9A, 1A, 44, 8
DE, 3D, 44, 9
F3, B0, 44, A
CA, 8C, 44, B
5B, 2A, 44, C
D7, E7, 44, D
9E, AA, 44, E
FA, DF, 44, F
DE, B7, 44, 10
F8, 2F, 44, 11
52, 8C, 44, 12
9B, 9D, 44, 13
D0, 88, 44, 14
8F, BB, 44, 15
CA, F5, 44, 16
58, 45, 44, 17
C2, EA, 44, 18
9E, B6, 44, 19
FA, 62, 44, 1A
DC, 60, 44, 1B
E2, 3A, 44, 1C
52, 89, 44, 1D
9B, 50, 44, 1E
D5, 17, 44, 1F
5B, A6, 44, 20
CA, 32, 44, 21
5E, F0, 44, 22
F9, FD, 44, 23
9E, 9E, 44, 24
FB, 91, 44, 25
D3, 2D, 44, 26
94, 35, 44, 27
52, EE, 44, 28
98, 2B, 44, 29
CF, E2, 44, 2A
77, D1, 44, 2B
CA, 73, 44, 2C
5F, 6B, 44, 2D
F4, 80, 44, 2E
9E, EA, 44, 2F
FB, 44, 44, 30
D6, 96, 44, 31
BE, 40, 44, 32
52, AF, 44, 33
99, 8E, 44, 34
C0, 69, 44, 35
3, DC, 44, 36
CA, 10, 44, 37
5D, C6, 44, 38
E3, 8B, 44, 39
9E, EA, 44, 3A
FB, B, 44, 3B
D5, C3, 44, 3C
A0, 5B, 44, 3D
52, A8, 44, 3E
99, 21, 44, 3F
FA, F4, 44, 40
DF, C6, 44, 41
