R1, R2, C1, C2
E0, 3, 0, ED
2E, 87, 0, EE
95, 39, 0, EF
88, 86, 0, F0
67, 87, 0, F1
96, 7A, 0, F2
91, 11, 0, F3
AB, 8A, 0, F4
7C, 8A, 0, F5
97, 60, 0, F6
99, FD, 0, F7
EA, 8E, 0, F8
72, 8C, 0, F9
95, 78, 0, FA
89, F1, 0, FB
6A, 92, 0, FC
96, 6E, 0, FD
91, 64, 0, FE
A9, 55, 0, FF
95, 96, 1, 0
87, 87, 1, 1
16, 98, 1, 2
9B, 9D, 1, 3
93, 8A, 1, 4
B7, 3B, 1, 5
91, 9D, 1, 6
96, 9A, 1, 7
9F, DE, 1, 8
D5, DF, 1, 9
83, A2, 1, A
95, B7, 1, B
87, 62, 1, C
11, 23, 1, D
AF, A0, 1, E
93, 99, 1, F
B5, A6, 1, 10
86, A6, 1, 11
96, BA, 1, 12
9F, 31, 1, 13
D2, AA, 1, 14
BD, A9, 1, 15
95, 80, 1, 16
86, DD, 1, 17
1B, AE, 1, 18
F3, AB, 1, 19
93, D8, 1, 1A
B4, D1, 1, 1B
8B, B3, 1, 1C
96, AE, 1, 1D
9F, 44, 1, 1E
D0, 75, 1, 1F
D7, B4, 1, 20
95, F5, 1, 21
85, 98, 1, 22
6, 39, 1, 23
7, BE, 1, 24
93, 2F, 1, 25
B3, 7C, 1, 26
B0, BC, 1, 27
96, 96, 1, 28
9E, F7, 1, 29
DD, 40, 1, 2A
C1, C3, 1, 2B
95, 9A, 1, 2C
85, 13, 1, 2D
0, C4, 1, 2E
2B, C1, 1, 2F
93, 6, 1, 30
B1, E7, 1, 31
A5, C9, 1, 32
96, FA, 1, 33
9E, 6A, 1, 34
DA, 8B, 1, 35
FB, CE, 1, 36
95, A3, 1, 37
84, 4E, 1, 38
B, 4F, 1, 39
7F, D4, 1, 3A
93, 3D, 1, 3B
B0, 52, 1, 3C
AA, D2, 1, 3D
96, EA, 1, 3E
9E, 2D, 1, 3F
C7, D6, 1, 40
15, D5, 1, 41
95, 5C, 1, 42
83, E9, 1, 43
35, DA, 1, 44
83, DE, 1, 45
92, C4, 1, 46
BF, 3D, 1, 47
DF, DF, 1, 48
96, 96, 1, 49
9D, B0, 1, 4A
C5, 21, 1, 4B
F, E0, 1, 4C
95, 79, 1, 4D
83, 4, 1, 4E
30, 65, 1, 4F
D7, E3, 1, 50
92, A3, 1, 51
BD, A8, 1, 52
C4, E8, 1, 53
96, BE, 1, 54
9D, 43, 1, 55
C2, 6C, 1, 56
39, EF, 1, 57
95, 5E, 1, 58
82, 7F, 1, 59
3A, F0, 1, 5A
FB, F4, 1, 5B
92, 82, 1, 5C
BC, 53, 1, 5D
C9, F5, 1, 5E
96, AA, 1, 5F
9C, F6, 1, 60
CF, B7, 1, 61
53, FA, 1, 62
95, 3F, 1, 63
81, BA, 1, 64
25, 7B, 1, 65
F, F9, 1, 66
92, 61, 1, 67
BA, FE, 1, 68
FE, FE, 1, 69
96, 6A, 1, 6A
9C, 59, 1, 6B
CC, 2, 1, 6C
4D, 1, 1, 6D
95, D8, 1, 6E
81, F5, 1, 6F
2F, 6, 1, 70
53, 2, 1, 71
92, C0, 1, 72
B9, 69, 1, 73
E3, B, 1, 74
96, 7E, 1, 75
9C, BC, 1, 76
CA, CD, 1, 77
67, C, 1, 78
95, FD, 1, 79
80, B0, 1, 7A
2A, 91, 1, 7B
67, 17, 1, 7C
92, E7, 1, 7D
B8, D4, 1, 7E
E8, 14, 1, 7F
96, 96, 1, 80
9B, 1F, 1, 81
F7, 98, 1, 82
91, 1A, 1, 83
94, 12, 1, 84
8F, 4B, 1, 85
54, 1C, 1, 86
8B, 1B, 1, 87
91, 3E, 1, 88
A6, 3F, 1, 89
1D, 21, 1, 8A
96, AA, 1, 8B
9B, 42, 1, 8C
F4, 63, 1, 8D
8B, 27, 1, 8E
94, 3B, 1, 8F
8E, 26, 1, 90
5F, A7, 1, 91
DF, 2E, 1, 92
91, 65, 1, 93
A5, AA, 1, 94
2, 2A, 1, 95
96, BA, 1, 96
9B, 95, 1, 97
F1, 2E, 1, 98
A5, 2C, 1, 99
94, 4, 1, 9A
8E, 81, 1, 9B
59, 32, 1, 9C
E3, 35, 1, 9D
91, 4C, 1, 9E
A4, D5, 1, 9F
37, 37, 1, A0
96, 96, 1, A1
9A, 28, 1, A2
FF, F9, 1, A3
DF, 39, 1, A4
94, 71, 1, A5
8D, 5C, 1, A6
44, BD, 1, A7
37, 38, 1, A8
91, 9B, 1, A9
A2, 0, 1, AA
3C, 40, 1, AB
96, EE, 1, AC
9A, 2B, 1, AD
FC, C4, 1, AE
C9, 46, 1, AF
94, 26, 1, B0
8C, 57, 1, B1
4E, 48, 1, B2
5B, 4F, 1, B3
91, 9A, 1, B4
A1, EB, 1, B5
21, 4D, 1, B6
96, FA, 1, B7
9A, 8E, 1, B8
F9, F, 1, B9
E3, 53, 1, BA
94, 27, 1, BB
8C, 92, 1, BC
49, D3, 1, BD
6F, 52, 1, BE
91, A9, 1, BF
AF, 56, 1, C0
56, 56, 1, C1
96, 9A, 1, C2
99, 41, 1, C3
E6, 5A, 1, C4
1D, 58, 1, C5
94, D0, 1, C6
8B, 2D, 1, C7
73, 5E, 1, C8
B3, 58, 1, C9
90, 48, 1, CA
AE, 1, 1, CB
5B, 63, 1, CC
96, AE, 1, CD
99, 14, 1, CE
E4, A5, 1, CF
37, 65, 1, D0
94, C5, 1, D1
8A, 48, 1, D2
7E, E9, 1, D3
C7, 6D, 1, D4
90, 3F, 1, D5
AD, AC, 1, D6
40, 6C, 1, D7
96, B6, 1, D8
99, A7, 1, D9
E1, F0, 1, DA
21, 72, 1, DB
94, CA, 1, DC
8A, A3, 1, DD
78, 74, 1, DE
EB, 72, 1, DF
90, F6, 1, E0
AB, 57, 1, E1
75, 79, 1, E2
96, 9A, 1, E3
98, 5A, 1, E4
EE, 3B, 1, E5
5B, 7F, 1, E6
94, B3, 1, E7
89, FE, 1, E8
2B, 0, 1, E9
3F, 87, 1, EA
90, 2D, 1, EB
AA, 2, 1, EC
7A, 82, 1, ED
96, 6A, 1, EE
98, FD, 1, EF
EB, 86, 1, F0
75, 84, 1, F1
94, 6C, 1, F2
88, B9, 1, F3
6D, 8A, 1, F4
43, 8C, 1, F5
90, 54, 1, F6
A9, 6D, 1, F7
6F, 8F, 1, F8
96, 76, 1, F9
98, 40, 1, FA
E9, 51, 1, FB
6F, 91, 1, FC
94, 69, 1, FD
88, 74, 1, FE
68, 15, 1, FF
90, 96, 2, 0
D8, B7, 2, 1
9A, 9A, 2, 2
9A, 9A, 2, 3
88, BA, 2, 4
19, DB, 2, 5
94, 98, 2, 6
9C, 93, 2, 7
B8, 1E, 2, 8
9C, 1E, 2, 9
B0, A8, 2, A
90, 8D, 2, B
D9, 22, 2, C
95, A1, 2, D
9A, AA, 2, E
88, DD, 2, F
1C, A6, 2, 10
BA, A3, 2, 11
9C, 8C, 2, 12
B9, 99, 2, 13
92, AB, 2, 14
CC, A3, 2, 15
90, F4, 2, 16
DA, 4D, 2, 17
80, AC, 2, 18
